selected project;rowId;projectId;ownerLogin;name;language;totalCommitters;totalcommits;projectAge;windowIdx;blauGender;turnover;female;radio;tenureMedian;tenureDiversity;expertise;teamSize;stCongruence;truckFactor;centrality
https://github.com/holman/dotfiles;673760;3545;holman;dotfiles-v2;C;886;19168;9;9;0.067;0.39;4;1;4;5;0.3;116;0.6;2;1.1
https://github.com/liferay/liferay-portal;148776;3981;liferay;liferay-portal;Java;341;118673;7;11;0.071;0.36;4;1;4;1;0.9;109;0.6;3;1.2
https://github.com/genome/gms;690535;804746;genome;gms-core;Perl;52;4905;18;4;0.302;0.39;5;1;1;2;0.4;27;0;5;0.8
https://github.com/liferay/liferay-portal;148777;3981;liferay;liferay-portal;Java;341;118673;7;12;0.075;0.37;5;1;3;6;0.7;128;0.9;5;1.4
https://github.com/django/django;450427;1226;django;django-html-escape;Python;1100;23604;17;18;0.084;0.35;6;1;1;5;0.6;137;0.8;3;1.2
https://github.com/genome/gms;690536;804746;genome;gms-core;Perl;52;4905;18;5;0.337;0.39;6;1;1;7;0.3;28;1;3;1.3
https://github.com/liferay/liferay-portal;148772;3981;liferay;liferay-portal;Java;341;118673;7;7;0.126;0.38;6;1;1;7;0.6;89;1;5;0
https://github.com/torvalds/linux;806629;1088;torvalds;linux-imx6-1;C;1053;104219;14;17;0.068;0.3;6;1;3;4;0.2;170;0.3;4;1.3
https://github.com/mxcube/mxcube;26067;3537187;mxcube;mxcube;Python;23;1050;21;1;0.496;0.33;6;1;4;1;0.5;11;1;2;1.5
https://github.com/holman/dotfiles;673763;3545;holman;dotfiles-v2;C;886;19168;9;12;0.049;0.3;7;1;2;3;0.9;276;0.9;5;1.3
https://github.com/holman/dotfiles;673765;3545;holman;dotfiles-v2;C;886;19168;9;14;0.042;0.31;7;1;3;8;0.4;328;0.1;2;0.8
https://github.com/liferay/liferay-portal;148775;3981;liferay;liferay-portal;Java;341;118673;7;10;0.11;0.33;7;1;2;3;0.8;120;0.7;4;1.3
https://github.com/chapuni/llvm-project;739698;10;chapuni;llvm;C++;269;11874;12;9;0.112;0.4;7;1;2;8;0.8;117;0.2;5;0.5
